club,location,state,county,status,acreage,track_miles,track_configs,year_opened,membership_cap,members_current,membership_tier,initiation_fee_usd,annual_dues_usd,dues_inclusions,real_estate_required,garage_condo_price_usd,garage_condo_sf,garage_condo_psf,garage_condo_units,homesite_or_villa_price_usd,season_days_published,absorption_note,confidence,source_url,source_date,accessed,note
The Thermal Club,Thermal (Coachella Valley),CA,Riverside,Operating,426,5.1,3,2014,,210,Standard family (2026 listings),400000,38400,"Club dues 3200/mo. SEPARATE ground-maintenance fee 450/mo per lot = 5400/yr, so all-in recurring ~43800.",YES,,,,,785000,,"210 members / 75 properties / 135 lots sold as of Feb 2024 (~10 yrs from opening) = ~21 members and ~13.5 lots per year",Third-Party (2ndary retrieval),https://desertpacificproperties.com/the-thermal-club-villa-7a-61150-goodwood-rd/,2026-03,2026-08-06,"Broker listing sheets (Desert Pacific Properties) are the only public source carrying current fee terms; the operator site does not publish them. Lot price 785000 is the quoted floor for premium 'track-front' lots; separate reporting puts non-track 'condo sites' from 700000. REAL ESTATE IS A GATE, NOT AN OPTION: buyers must acquire a lot and build within five years. Minimum build size reported inconsistently as 6,000 SF and as 30,000 SF across sources - the 30,000 SF figure is almost certainly a reporting error and should not be relied on."
The Thermal Club,Thermal (Coachella Valley),CA,Riverside,Operating,426,5.1,3,2014,,210,Standard family (2025 listings),250000,38400,Club dues 3200/mo plus 450/mo per-lot ground maintenance.,YES,,,,,700000,,,Third-Party (2ndary retrieval),https://desertpacificproperties.com/the-thermal-club-villa-90-61005-watkins-glen-dr/,2025-09,2026-08-06,"Same broker, earlier listing vintage. Initiation escalation 175000 (2024) -> 200000 -> 250000 (Sep 2025) -> 400000 (Mar 2026) is the single steepest pricing move in the comp set: +129% in about 24 months."
The Thermal Club,Thermal (Coachella Valley),CA,Riverside,Operating,426,5.1,3,2014,,210,As reported at 2024 IndyCar test,175000,28800,Monthly dues 2400. Third-party reporting notes the monthly fee 'has doubled over the last five years'.,YES,,,,,,,"Club had grown to 210 members, 75 properties and 135 lots sold",Third-Party (2ndary retrieval),https://sports.yahoo.com/inside-thermal-club-5-2-212123326.html,2024-02,2026-08-06,"IndyStar/USA Today Network reporting carried on Yahoo Sports. This is the best-quality third-party source in the whole comp set because it is a named reporter on site, not a marketing page. It also supplies the only realized absorption count anywhere in the set."
The Thermal Club,Thermal (Coachella Valley),CA,Riverside,Operating,426,5.1,3,2014,,,Real estate program,,,,YES,,,,,2200000,,"70 luxury villas; ready-built spec villas from ~2.3M off-track and ~3.3M trackside; track-front homes reported ~4.5M and non-track ~3.5M",Third-Party (2ndary retrieval),https://www.racingcircuits.info/north-america/usa/the-thermal-club.html,undated,2026-08-06,"Villa/home price band, not a single figure. Sources disagree on whether the 70 villas are the membership cap or only the built inventory; 135 lots sold against 210 members says villas are NOT the cap."
Monticello Motor Club,Monticello,NY,Sullivan,Operating,670,4.1,,2008,,,Silver,92500,8600,15 days per season with driving limited to 8 weekend days.,NO,,,,,,,,Unverified,https://grokipedia.com/page/monticello_motor_club,2026-01,2026-08-06,"SOURCE IS AN AI-GENERATED WIKI, NOT A PRIMARY SOURCE. Monticello's own membership page does not publish pricing. Direction is corroborated by Robb Report 2018 (90000/13700 unlimited; Gold 115000/17700; Junior 45000/5000). RESEARCH TASK: call the MMC membership office, (845) 796-2500, and request the current rate card. This is the single highest-value phone call in the project - it sets the Northeast initiation ceiling."
Monticello Motor Club,Monticello,NY,Sullivan,Operating,670,4.1,,2008,,,Gold,125000,18500,Unlimited days; no driving restrictions; garage rental priority.,NO,,,,,,,,Unverified,https://grokipedia.com/page/monticello_motor_club,2026-01,2026-08-06,"Same AI-wiki caveat. 125000/18500 is the HIGHEST published Northeast figure found anywhere and is therefore the proven Northeast ceiling until a call says otherwise."
Monticello Motor Club,Monticello,NY,Sullivan,Operating,670,4.1,,2008,,,Unlimited (2018 vintage),90000,13700,Unlimited driving days.,NO,,,,,,,,Third-Party (2ndary retrieval),https://robbreport.com/motors/cars/private-race-track-guide-club-motor-cars-porsche-aston-martin-eg18-2824163/,2018-10,2026-08-06,"Robb Report guide, confirmed as 2018 vintage by MMC's own 2018-10-24 post announcing the feature. Eight-year-old pricing; useful only as an escalation anchor (90000->125000 top tier = ~4.2%/yr)."
Monticello Motor Club,Monticello,NY,Sullivan,Operating,670,4.1,,2008,,,Junior (under 35),45000,5000,Eight days of racing per season.,NO,,,,,,,,Third-Party (2ndary retrieval),https://robbreport.com/motors/cars/private-race-track-guide-club-motor-cars-porsche-aston-martin-eg18-2824163/,2018-10,2026-08-06,"2018 vintage. Shows the club runs a deep discount tier to fill capacity - relevant to any 340-member absorption assumption."
Monticello Motor Club,Monticello,NY,Sullivan,Operating,670,4.1,,2008,,,Real estate program,,,,NO,,,,,8000000,,"Up to 70 'autominiums' offered to members on LONG-TERM LEASE, not sale; up to 200 private garages announced in the 2013 expansion",Third-Party (2ndary retrieval),https://robbreport.com/shelter/homes-for-sale/monticello-motor-club-estates-home-for-sale-1237359769/,undated,2026-08-06,"IMPORTANT STRUCTURAL POINT: Monticello's trackside product was announced as LEASEHOLD, which is the opposite of this project's merchant-build mandate. One 8M estate home at Monticello Motor Club Estates carries a club membership. Unit-level pricing and realized sell-out are NOT published - a Sullivan County Clerk records pull is the way to get them."
Apex Motor Club,Maricopa,AZ,Pinal,Operating,280,2.27,,2018,425,,Gold,70000,8000,,NO,430000,1250,344,264,,275,,Third-Party (2ndary retrieval),https://racer.com/2020/07/23/apex-motor-club-no-experience-necessary,2020-07,2026-08-06,"Cap of 425 reported 2022 (an earlier source said 500). 264 is the planned total of for-sale AND for-lease garages, 625-1,250 SF. Garage condo psf 344 is DERIVED: 430000 / 1250 SF. Optional 625 SF mezzanine adds 25000 (= 40/SF, i.e. mezzanine SF is nearly free, which drags true blended psf well below 344)."
Apex Motor Club,Maricopa,AZ,Pinal,Operating,280,2.27,,2018,425,,Platinum,90000,15000,As many as 275 days of unlimited track time.,NO,430000,1250,344,264,,275,"Phase 2 adds a clubhouse and four garage-condo buildings totalling 48 units, doubling condo count; 'prices will go up during Phase 2'",Third-Party (2ndary retrieval),https://inmaricopa.com/construction-begins-on-apex-garage-condos/,undated,2026-08-06,"275 days is an OPERATOR MARKETING CLAIM repeated by third parties, not an audited operating calendar. It is also the figure the model's AZ season_days leans on - treat as operator-claim, not verified."
Apex Motor Club,Maricopa,AZ,Pinal,Operating,280,2.27,,2018,425,,Range across Gold/Platinum/Corporate,50000,5000,"Reported band: 50000 initiation / 5000 dues at the bottom to 175000 initiation / 22500 dues (Corporate) at the top.",NO,,,,,,,,Third-Party (2ndary retrieval),https://roselawgroupreporter.com/2021/07/huge-surge-in-membership-sales-at-valleys-only-private-motor-sports-club/,2021-07,2026-08-06,"Conflicts with the Gold/Platinum figures above. I would underwrite to the Gold/Platinum pair (70000/8000 and 90000/15000) because they are tier-specific; the 50000-175000 band mixes individual and corporate products."
M1 Concourse,Pontiac,MI,Oakland,Operating,87,1.5,1,2016,,,Motorsports Club,20000,3750,6-7 hours per week of track time. Annual fee also reported at 3950 and 4950 in other vintages.,NO,105000,500,210,175,,,"First 80 units built and sold for ~20M total; grown to 175+ garage condos over ~10 years = ~17.5 units/yr realized",Third-Party (2ndary retrieval),https://carcollectorsclub.com/m1-concourse-motorsports-club-track-and-clubhouse/,undated,2026-08-06,"210 psf is the 2016 ORIGINAL-OFFERING price (105000 / 500 SF) and is stale. Units range 500-13,000 SF. 87 acres 'cost just over 40 million dollars to develop' - a rare published all-in development cost for a small urban circuit."
M1 Concourse,Pontiac,MI,Oakland,Operating,87,1.5,1,2016,,,Real estate - current market,,,,NO,,,600,175,,,"Iron Gate Naperville comparison in same source; M1 is the psf ceiling of the Michigan garage-condo market",Third-Party (2ndary retrieval),https://www.onlygaragecondos.com/blog/michigan-7-garage-condos-for-sale-near-water-dunes-and-the-track,2026,2026-08-06,"CURRENT figure: 'luxury trackside suites at Pontiac's M1 Concourse ($600/SF)' against 'budget-friendly heated units in Benzonia ($110/SF)'. This is a specialist garage-condo brokerage newsletter - trade press, not the operator. 600 psf vs the 210 psf original offering is a ~2.9x nominal gain over ten years and is the strongest single data point FOR the for-sale thesis in the entire set."
The Concours Club,Opa-locka (Miami),FL,Miami-Dade,Operating,75,2.0,1,2021,200,,Standard,150000,35000,,NO,,,,41,,,"Over 200 people on the waiting list; 60+ approved at an early count",Third-Party (2ndary retrieval),https://www.topspeed.com/cars/exclusive-the-concours-club-in-miami-is-an-outstanding-private-venture-where-high-paced-track-action-meets-opulence/,undated,2026-08-06,"150000/35000 is almost exactly the model's assumed 150000/34000. This is the ONE comp that supports the model's pricing - and it is a 75-acre, invitation-only, airport-adjacent Miami club with a 200+ waitlist, not a 210-day Northeast circuit. 'Auto Lofts limited to 41 units'; a separate claim of '300 garage condos - largest private garage community in the world' conflicts and I would not underwrite to it."
The Concours Club,Opa-locka (Miami),FL,Miami-Dade,Operating,75,2.0,1,2021,40,,Founding,350000,0,"One-time 350000 lifetime membership, NO annual dues.",NO,,,,,,,,Third-Party (2ndary retrieval),https://fortune.com/2018/06/28/miami-join-concours-membership/,2018-06,2026-08-06,"Pre-opening reporting (2018). A zero-dues lifetime tier at 350000 is the cleanest example in the set of trading recurring revenue for upfront capital - the exact structural question this research was sent to test."
The Concours Club,Opa-locka (Miami),FL,Miami-Dade,Operating,75,2.0,1,2021,150,,Legacy,125000,,Annual dues charged but amount not published.,NO,,,,,,,,Unverified,https://fortune.com/2018/06/28/miami-join-concours-membership/,2018-06,2026-08-06,"Dues amount NOT PUBLISHED. Also conflicting: one account says the 100 non-founding memberships sold at 375000 plus 35000/yr, another says 150000 plus 35000/yr. I would underwrite to 150000/35000 as the standing rate because it is the figure repeated by the most recent sources."
Autobahn Country Club,Joliet,IL,Will,Operating,350,3.56,3,2005,,,Full,50000,6600,"Every facility and track; right to build on-site condos and secure paddock garages. Unlimited track time April-October.",NO,,,,,,214,,Third-Party (2ndary retrieval),https://carcollectorsclub.com/autobahn-country-club/,undated,2026-08-06,"Track splits into 2.1-mile and 1.5-mile circuits. Season days 214 is DERIVED from the published 'April through October', not a published day count. Escalation vs Robb Report 2018 (40000/5500): +25% initiation, +20% dues over ~7 years = ~3.2%/yr initiation, ~2.6%/yr dues - close to the model's 3.0% dues escalator."
Autobahn Country Club,Joliet,IL,Will,Operating,350,3.56,3,2005,,,Social / Karting,0,5700,Full karting circuit access; events; community amenities. No initiation reported.,NO,,,,,,214,,Third-Party (2ndary retrieval),https://carcollectorsclub.com/autobahn-country-club/,undated,2026-08-06,"A 5700/yr dues-only tier priced within 14% of the Full tier's 6600 dues is worth noting: Autobahn monetises the amenity, not the asphalt, at the margin."
Autobahn Country Club,Joliet,IL,Will,Operating,350,3.56,3,2005,,,Real estate program,,,,NO,,,,,,,"Garage condos with 2,000 SF living space plus 2,250 SF climate-controlled garage; trackside lots for custom builds",Unverified,https://autobahncc.com/autobahn-real-estate/,undated,2026-08-06,"UNIT PRICING NOT PUBLISHED. A 4,250 SF combined unit is more than 2x the model's 1,800 SF average condo - the product is a different animal. RESEARCH TASK: Will County Recorder deed search on the Autobahn condominium plat will give realized trades and absorption."
Atlanta Motorsports Park,Dawsonville,GA,Dawson,Operating,,2.0,1,2012,,,Main Circuit (entry),12500,,"Dues NOT PUBLISHED on the operator membership page. One third-party account reports 37500 initiation with 150/month (=1800/yr) for as many as 140 days of driving.",NO,225000,640,352,45,,140,"All but 8 of the 45 condos in phases 1-2 spoken for; phases 1, 2 and 3 subsequently sold out; 8M of condos sold in two months",Third-Party (2ndary retrieval),https://atlanta.urbanize.city/post/priced-225k-condos-overlooking-racetrack-are-selling-out,undated,2026-08-06,"garage_condo_psf 352 is DERIVED: 225000 / 640 SF, and these are SHELL units - buyer finishes the interior, so 352/SF is not comparable to a finished-product 530/SF. Units 640-1,280 SF, combinable. Hermann Tilke design. 212 private garages reported waitlisted. ACREAGE NOT PUBLISHED."
