parcel_id,apn,listing_url,latitude,longitude,municipality,county,state,address,source_tier,confidence,source_ids,date_stamp,gross_acres,contiguous_developable_acres,contiguous_acres_under_8pct_grade,elevation_change_ft,natural_amphitheater,pct_wetlands,pct_floodway,pct_watercourse_buffer,soil_class,bedrock_depth_ft,blasting_risk,cutfill_balance_cy,assemblage_possible,assemblage_adjacent_acres,expansion_land_adjacent_acres,site_cost_premium_usd,site_cost_basis_note,season_days,market_metro,market_region,market_tier,prior_use,nearest_residence_ft,residences_within_1mi,has_intervening_buffer,noise_ordinance_citation,noise_ordinance_dba_day,noise_measurement_point,noise_standard_type,zoning_district,zoning_posture,permitting_path,permitting_timeline_months,prior_denial_same_use,opposition_risk,jurisdiction_flags,in_woh_watershed,drive_anchor_1_name,drive_anchor_1_min,drive_anchor_2_name,drive_anchor_2_min,drive_anchor_3_name,drive_anchor_3_min,best_drive_min,hnw_households_90min,nearest_jet_fbo_mi,nearest_jet_fbo_name,nearest_motorsport_club_mi,nearest_motorsport_club_name,exotic_dealers_in_catchment,marque_clubs_in_catchment,three_phase_power_distance_mi,water_source,sewer,perc_rate_min_per_inch,fiber_available,existing_paved_runway,existing_structures_sf,road_frontage_ft,has_legal_road_frontage,curb_cut_existing,phase_i_status,has_ust,remediation_status,ag_chemical_legacy,te_species_habitat,historic_archaeological_flag,owner_name,owner_type,ask_price,ask_price_per_acre,days_on_market,price_reduced,prior_failed_contracts,conservation_easement,right_of_first_refusal,mineral_rights_severed,pa_490_enrolled,ag_district_305a,tax_abatement_path,property_tax_effective_rate,property_tax_abatement_pct,option_feasible,seller_motivation,phaseable,alternate_use
TP-01-EPCAL,,,,,Riverhead / Calverton,Suffolk,NY,"Former naval weapons industrial reserve / airfield typology, Route 25 corridor",Tier 2,Target Profile,,2026-08-04,620,560,470,40,,0.06,0.01,0.02,,60,,,,,200,-9500000,CREDIT: existing runway pavement usable as base course; municipal water/sewer at boundary; offset by Phase II and AOC remediation allowance,210,New York metro,Northeast,Tier 3,airport_airfield,5200,18,yes,,,,,Industrial / PD,special_permit,,42,,,,,Manhattan,95,Greenwich,118,Short Hills,140,,520000,6,Regional jet-capable FBO on site typology,95,Monticello Motor Club,22,14,0.2,municipal,municipal,,yes,yes,85000,,yes,yes,Phase I / II required,,Historic industrial — AOC review,,,,,municipal,14000000,25000,0,,,,,,,,NY IDA PILOT — strong precedent,0.0225,0.5,yes,Public disposition / job-creation mandate,yes,industrial_logistics_park
TP-02-QUARRY-9W,,,,,Ulster County Route 9W quarry belt,Ulster,NY,"Active/reclaimed hard-rock aggregate operation typology, Route 9W corridor",Tier 2,Target Profile,,2026-08-04,480,390,210,180,yes,0.04,0.02,0.05,,3,"high — shallow bedrock, blasting permitted history",850000,,,120,6500000,Rock excavation and benching on the pit walls; well and package treatment plant; 1.8 mi three-phase extension. Partly offset by on-site aggregate for base course,205,New York metro,Northeast,Tier 3,active_quarry,2400,34,yes,,,,,Mining / Rural,special_permit,,42,,high — organized watershed constituency,,yes,Manhattan,110,Greenwich,95,Short Hills,105,,430000,14,Hudson Valley FBO,55,Monticello Motor Club,18,12,1.8,well_unproven,septic,18,no,,22000,,yes,yes,Phase I required,,Mining reclamation bond in place,,,,,corporate_aggregate,11500000,23958,210,,,,,,,,NY IDA PILOT — county precedent,0.024,0.5,yes,Reserve exhaustion / reclamation obligation,yes,continued_aggregate_then_residential
TP-03-THOMPSON,,,,,Thompson / Putnam,Windham,CT,"Existing motorsport venue adjacency typology, I-395 corridor",Tier 1,Target Profile,,2026-08-04,410,360,250,95,,0.09,0.01,0.06,,12,moderate,320000,,,80,4200000,Ledge removal in the northern third; well field and subsurface disposal; 0.9 mi three-phase extension,200,New York metro,Northeast,Tier 3,existing_motorsport,1900,41,yes,,,,,Rural / Recreation,special_permit,,30,,moderate — inherited noise floor cuts both ways,,,Greenwich,132,Boston,62,Hartford,48,,290000,18,Northeast CT regional FBO,42,Palmer Motorsports Park,9,8,0.9,well_proven,septic,12,yes,,14000,,yes,yes,Phase I required,yes,USTs of record — closure documentation required,,,,,family_operator,9800000,23902,145,,,,,,yes,,"CT municipal 7-year abatement — home rule, negotiated",0.026,0.35,yes,Succession — no next-generation operator,yes,continued_raceway_operation
TP-04-CUMBERLAND,,,,,Upper Deerfield / Hopewell Twp,Cumberland,NJ,"Capped municipal landfill and adjoining farmland typology, Route 55 corridor",Tier 3,Target Profile,,2026-08-04,520,430,400,25,,0.12,0.03,0.07,Sandy loam — coastal plain,120,,,yes,140,,7800000,Landfill cap cannot carry pavement — track alignment must avoid the footprint; differential settlement monitoring; NJDEP CEA/deed notice compliance; 2.4 mi utility extension,225,Philadelphia,Northeast,Tier 3,capped_landfill,2100,52,,,,,,Agricultural / Institutional,map_amendment_required,,48,,high — NJDEP layered review,,,Short Hills,118,Philadelphia,52,Manhattan,138,,310000,22,South Jersey FBO,68,New Jersey Motorsports Park,11,9,2.4,well_proven,septic,8,no,,,,yes,,Phase I / II required,,Closed landfill — CEA in place,yes,,,,municipal_plus_private,6900000,13269,,,,,,,,,NJ EDA / municipal redevelopment PILOT,0.024,0.40,yes,Closed-landfill liability transfer,yes,utility_scale_solar
TP-05-LITCHFIELD,,,,,Litchfield County golf corridor,Litchfield,CT,"Closed 36-hole golf property typology, Route 8 / Route 202 corridor",Tier 1,Target Profile,,2026-08-04,330,300,230,120,yes,0.08,0.02,0.09,,18,moderate,180000,,,,1800000,"CREDIT: pre-graded fairways, irrigation pond and well field, cart-path subbase, existing clubhouse convertible. Offset by ledge in the back nine and pesticide-legacy soil handling",200,New York metro,Northeast,Tier 3,golf_course,800,110,,,,,,Residential / Recreation,map_amendment_required,,54,no,severe — abutting residential subdivision on the property line,,,Greenwich,78,Manhattan,112,Hartford,55,,470000,11,Waterbury-Oxford,72,Lime Rock Park (adjacent use),19,15,0.3,well_proven,septic,14,yes,,42000,,yes,yes,Phase I required,,,yes,,,,lender_reo,8400000,25455,390,yes,2,,,,yes,,"CT municipal abatement — negotiated, no precedent for this use",0.0255,0.25,yes,REO carry — lender wants out,no,residential_subdivision
TP-06-PINAL-303,,,,,Pinal County / Loop 303 – I-10 corridor,Pinal,AZ,"Retired aggregate borrow pit and adjoining state-trust-adjacent desert acreage, I-10 corridor between Casa Grande and the West Valley",Tier 2,Target Profile,,2026-08-04,640,600,560,55,,0.0,0.04,0.02,"Desert alluvium — excellent bearing, low plasticity",90,,60000,,,320,3400000,"No municipal water or sewer: deep well plus package treatment and effluent reuse for irrigation, ~$4.2M. Partly offset by a balanced earthwork job on flat desert alluvium and on-site borrow from the retired pit. FEMA sheet-flow conveyance included",310,Phoenix – Scottsdale,Southwest,Tier 1,reclaimed_quarry,6800,4,yes,,,,,General Rural (Pinal County),special_permit,Pinal County special use permit + ADEQ APP/AZPDES + ADOT access permit,24,,low — nearest residential density is 1.3 mi and agricultural,,,Scottsdale,58,Paradise Valley,62,Sky Harbor / Phoenix core,45,,210000,16,Phoenix-Mesa Gateway / Casa Grande Municipal,22,"Apex Motor Club, Maricopa",17,16,0.6,well_unproven,none,6,no,,,,yes,no,Phase I required,,,,Sonoran desert tortoise survey required,,,private_investor,8200000,12813,260,yes,,,,,,,NONE — AZ GPLET reaches incorporated areas only; assume full ad valorem. The low statutory rate is the offset,0.007,0.0,yes,Land-banked since 2007; carrying cost fatigue,yes,industrial_logistics_park
TP-07-BRAZOS-XING,,,,,"Hood / Somervell County, SH-144 corridor",Hood,TX,"North Texas ranchland southwest of Fort Worth, Brazos River corridor near Cresson",Tier 2,Target Profile,,2026-08-04,560,505,420,110,yes,0.02,0.05,0.04,Limestone-derived clay loam — moderate expansivity,8,"low — rippable limestone, no blasting",240000,,,260,3900000,Rippable-rock excavation and lime stabilization of expansive subgrade; well field plus on-site treatment; 1.1 mi three-phase extension. Cut/fill balances on site,285,Dallas – Fort Worth,Texas,Tier 1,greenfield_agricultural,3400,11,yes,,,,,UNZONED — unincorporated Hood County,as_of_right,No county zoning authority in Texas: county plat + TCEQ construction stormwater + TxDOT driveway permit + on-site sewage facility permit,20,,"low-moderate — no discretionary land-use hearing exists; exposure is nuisance litigation, not denial",,,Fort Worth / Westover Hills,42,Southlake – Westlake,62,Dallas / Highland Park,78,,265000,19,Fort Worth Spinks / Granbury Regional,9,"MotorSport Ranch, Cresson — 304 ac, 300 garages",21,18,1.1,well_proven,septic,22,no,,,,yes,yes,Phase I required,,,,,,,family_ranch,10100000,18036,120,,,,,yes,,,"TX Tax Code Ch. 312 county abatement — discretionary, 10-yr precedent",0.0185,0.15,yes,Estate division across four heirs,yes,ranchette_subdivision
TP-08-MARION-OCALA,,,,,"Marion County, I-75 / US-27 corridor",Marion,FL,"Improved pasture and former limerock operation, northwest of Ocala",Tier 2,Target Profile,,2026-08-04,505,460,430,45,,0.1,0.02,0.06,"Sandy — excellent drainage, karst-prone",15,,,,,180,5600000,Karst and sinkhole geotechnical program with grouting allowance; SWFWMD/SJRWMD ERP stormwater with no off-site outfall — retention on site; well and package plant. Springs-protection nutrient limits constrain irrigation,310,Orlando – Ocala,Southeast,Tier 1,reclaimed_quarry,4100,14,yes,,,,,A-1 General Agriculture (Marion County),special_permit,Marion County special use permit + Water Management District ERP + FDEP; comprehensive-plan consistency finding required,30,,moderate — equestrian constituency is organized and noise-sensitive; the Farmland Preservation Area boundary must be avoided,,,Ocala / Golden Ocala,22,The Villages,38,Orlando / Winter Park,82,,145000,9,"Ocala International (jet-capable, customs)",100,None in the club format within 100 mi,8,11,0.8,well_proven,septic,4,yes,,,,yes,yes,Phase I required,,,,Gopher tortoise relocation permit required,,,private_investor,11400000,22574,180,,,,,,,,NONE for this use — FL economic development ad valorem exemption is targeted at manufacturing/HQ. Assume full ad valorem,0.0135,0.0,yes,1031 exchange deadline,yes,equestrian_estate_subdivision
TP-09-WALLER-290,,,,,"Waller County, US-290 corridor",Waller,TX,Coastal-plain row-crop acreage northwest of Houston between Hempstead and Brookshire,Tier 2,Target Profile,,2026-08-04,580,540,530,18,,0.07,0.06,0.05,"Fine-textured clay — high plasticity, poor drainage",200,,,yes,200,200,6200000,"Highly plastic clay subgrade requires lime/cement stabilization under the full circuit, plus imported select fill for pad elevation above the 100-yr floodplain; detention volume is the binding stormwater cost in Harris-adjacent counties",275,Houston,Texas,Tier 1,greenfield_agricultural,2900,22,,,,,,UNZONED — unincorporated Waller County,as_of_right,No county zoning authority: plat + TCEQ stormwater + TxDOT access + USACE Section 404 for the ditch network,18,,moderate — residential growth pushing west along US-290,,,Houston / Memorial – River Oaks,52,The Woodlands,64,Katy – Cinco Ranch,32,,245000,13,Houston Executive Airport (jet-capable),64,"MSR Houston, Angleton",19,15,0.4,well_proven,septic,45,yes,,,,yes,yes,Phase I required,,,yes,,,,family_farm,12500000,21552,95,,,,,,,,TX Ch. 312 county abatement — Waller County has active precedent,0.0195,0.15,yes,Row-crop economics; adjacent tracts already sold,yes,industrial_logistics_park
TP-10-HENDRY-75,,,,,"Hendry / eastern Collier County, SR-82 corridor",Hendry,FL,Former citrus and sod acreage east of I-75 between Immokalee and LaBelle,Tier 2,Target Profile,,2026-08-04,700,640,630,12,,0.11,0.04,0.05,Sandy flatwoods over marl — high water table,25,,,,,400,4600000,"CREDIT: an existing citrus canal, pump and bed network handles conveyance and gives a water source. Offset by pad fill to clear a seasonal high water table roughly 18 in below grade, and by panther-habitat mitigation credits",315,Naples – Fort Myers,Southeast,Tier 1,greenfield_agricultural,7600,3,yes,,,,,A-2 Agriculture (Hendry County),special_permit,Hendry County special exception + SFWMD ERP + USFWS consultation for Florida panther primary zone,42,,"low locally; the binding risk is the federal species consultation, not the neighbours",,,Naples / Port Royal,58,Fort Myers / Gulf Harbour,52,Bonita – Estero,48,,155000,17,Immokalee Regional / Naples Municipal,100,None in the club format within 100 mi,13,14,1.4,well_proven,none,5,no,,,,yes,yes,Phase I required,,,yes,Florida panther primary zone — mitigation credits required,,,corporate_agribusiness,11200000,16000,300,yes,,,,,,,NONE for this use — assume full ad valorem,0.0125,0.0,yes,Citrus greening — acreage exiting production,yes,agricultural_hold
