no,name,cited_for,url,accessed,tier,confidence,note
1,The Thermal Club,"Reference program — 426 private acres and over five miles of track, with homesites, villas and luxury residences, clubhouse, dining, fitness, spa and resort pools.",https://www.thermal.cc/,2026-08-03,Operator (primary),Verified — secondary retrieval,"Operator's own figure. Cross-check found 344 acres reported at the 2012/2014 launch and ~424 acres in 2021, so 426 reflects later expansion rather than a conflict. Primary page could not be fetched directly in this environment (network policy blocked the request); figure confirmed via search index of the operator site."
2,"Commercial mortgage rate surveys, 2026","Range context ONLY for the assumed permanent coupon: lenders quoting roughly 6.5%–8.0% on commercial mortgages in 2026, with well-qualified borrowers in the low-to-mid 6s and life-company paper spanning roughly 5.2%–8.6%.",https://www.commercialrealestate.loans/commercial-mortgage-rates/,2026-08-03,Lender/brokerage survey,Inferred,"Used to bound an ASSUMPTION, not to set a rate. The 7.25% coupon in config is a placeholder inside this range, biased upward because a private motorsport club is special-purpose collateral with no agency execution. Replace with a real term sheet before IC."
3,"Commercial DSCR requirement surveys, 2026",Minimum DSCR commonly required at 1.20x–1.35x depending on property type; roughly 1.25x on multifamily and 1.30x–1.40x on other commercial property types.,https://commercialloandirect.com/2026-DSCR-requirements-commercial-real-estate-loans,2026-08-03,Lender/brokerage survey,Inferred,"Context for the principal's confirmed 1.30x floor, which sits at the LOW end of the non-multifamily band. A special-purpose recreational asset would plausibly be quoted higher. Does not set the covenant — the principal did."
4,The Thermal Club — broker listing sheets (Desert Pacific Properties),"Current membership terms: standard family membership one-time initiation fee of $400,000 (2026 listings; $250,000 on 2025 listings; $200,000 with $2,400/mo on an earlier one), plus membership dues of $3,200/month and a $450/month per-lot ground maintenance fee. Real-estate purchase is REQUIRED — buyers acquire a lot and must build within five years. Premium track-front lots from $785,000; non-track condo sites from $700,000.",https://desertpacificproperties.com/the-thermal-club-villa-7a-61150-goodwood-rd/,2026-08-06,Broker listing (third-party),Third-Party — secondary retrieval,"REFUTES the working hypothesis that Thermal's dues are ~$7,200. All-in recurring is ~$43,800/yr, 29% ABOVE the model's $34,000. The operator site does not publish fees; broker sheets are the only public carrier. Direct fetch returned HTTP 403 across this environment — figures came via search index. Initiation escalation $175k (2024) to $400k (2026) is the steepest pricing move in the comp set."
5,"The Thermal Club — IndyStar/USA Today Network via Yahoo Sports, 'Inside The Thermal Club: What a $5.2 million membership gets you'","$175,000 initiation and monthly dues 'well over $2,000' (reported elsewhere as $2,400/mo) as of the Feb 2024 IndyCar test; monthly fee 'has doubled over the last five years'. Members must buy a lot and build within five years, costing roughly $5 million. Club had grown to 210 members, 75 properties and 135 lots sold. Initiation reported to include a 70% refundable deposit on exit.",https://sports.yahoo.com/inside-thermal-club-5-2-212123326.html,2026-08-06,Named journalist / third-party reporting,Third-Party — secondary retrieval,"Highest-quality third-party source in the comp set: a named reporter on site, not a marketing page. Supplies the ONLY realized absorption count anywhere in the set (~21 members and ~13.5 lots per year over ten years). The 70%-refundable-deposit claim is the most consequential unresolved item in the income block — if the convention holds, initiation NOI falls from $4.25M to $1.275M/yr and income.initiation_treatment has no switch for it."
6,Monticello Motor Club — Grokipedia,"Membership tiers: Silver $92,500 initiation / $8,600 annual dues (15 days per season, 8 weekend days); Gold $125,000 initiation / $18,500 annual dues (unlimited, no driving restrictions, garage rental priority). 4.1-mile circuit; 670 acres.",https://grokipedia.com/page/monticello_motor_club,2026-08-06,AI-generated wiki,Unverified,"SOURCE IS AN AI-GENERATED WIKI, NOT A PRIMARY SOURCE. Monticello's own membership page does not publish pricing. Recorded because $125,000/$18,500 is the HIGHEST published Northeast figure found anywhere and therefore sets the Northeast initiation ceiling used in the findings. Direction corroborated by Robb Report 2018 (source 7). MUST be replaced by a call to the MMC membership office before IC — this is the single highest-value call in the project."
7,"Robb Report, 'Your Private Race Track Guide' (2018 vintage)","Monticello Motor Club $90,000 initiation / $13,700 annual dues for unlimited days; Gold $115,000 / $17,700; Junior (under 35) $45,000 / $5,000 for eight days. Autobahn Country Club $40,000 initiation / $5,500 per year. Palmer Motorsports Park $22,500 initiation / $2,500 dues for 30-plus days.",https://robbreport.com/motors/cars/private-race-track-guide-club-motor-cars-porsche-aston-martin-eg18-2824163/,2026-08-06,Consumer trade press,Third-Party — secondary retrieval,"Vintage CONFIRMED as October 2018 by Monticello's own 2018-10-24 post announcing the feature. Eight-year-old pricing — usable only as an escalation anchor, not as current comps. Monticello top tier $115,000 to $125,000 is ~1.0%/yr; Autobahn $40,000 to $50,000 and $5,500 to $6,600 is ~3.2%/yr and ~2.6%/yr, bracketing the model's 3.0% dues escalator. Secondary aggregators muddle the Palmer and Club Motorsports attributions — flagged, not resolved."
8,"Apex Motor Club (Maricopa, AZ) — RACER and InMaricopa","Gold membership $70,000 initiation / $8,000 annual dues; Platinum $90,000 / $15,000 with as many as 275 days of unlimited track time. Membership capped at 425. 280 acres, 2.27-mile circuit, opened 2018. Garage condos from $430,000 for 1,250 SF (= $344/SF derived), optional 625 SF mezzanine +$25,000; ~264 total for-sale and for-lease garages 625–1,250 SF; Phase 2 adds 48 units across four buildings and 'prices will go up'.",https://racer.com/2020/07/23/apex-motor-club-no-experience-necessary,2026-08-06,Trade press / local press,Third-Party — secondary retrieval,"The 275-day figure is an OPERATOR MARKETING CLAIM repeated by trade press, not an audited operating calendar — and it is the figure the model's AZ season_days leans on. $344/SF is DERIVED ($430,000/1,250 SF) and is one of only two operating new-build track garage-condo price points in the set. A conflicting account (Rose Law Group, 2021) gives a $50,000/$5,000 to $175,000/$22,500 band; I would underwrite to the tier-specific Gold/Platinum pair."
9,"M1 Concourse (Pontiac, MI) — Car Collectors Club and OnlyGarageCondos","Motorsports Club: $20,000 one-time initiation, $3,750 annual dues (also reported at $3,950 and $4,950 in other vintages), 6–7 hours per week of track time. 87 acres, 1.5-mile circuit, opened 2016; site 'cost just over $40 million to develop'. Garage condos: 2016 offering $105,000 for 500 SF (= $210/SF); grown to 175+ units of 500–13,000 SF; first 80 units built and sold for ~$20M. CURRENT market: luxury trackside suites at $600/SF, against $110/SF for heated units in Benzonia MI.",https://www.onlygaragecondos.com/blog/michigan-7-garage-condos-for-sale-near-water-dunes-and-the-track,2026-08-06,Specialist brokerage newsletter / trade press,Third-Party — secondary retrieval,"$210/SF offering to ~$600/SF current is ~2.9x over ten years — the strongest single data point FOR the for-sale thesis in the set, but it is a BUYER's hold return, not a merchant-build margin. The developer captured $210/SF. Do not let $600 migrate into for_sale.garage_condos.sale_price_psf. Realized absorption ~17.5 units/yr against the model's assumed 23/yr."
10,"The Concours Club (Opa-locka, Miami) — TopSpeed and Fortune","Standard membership $150,000 initiation / $35,000 annual dues, cap 200; 40 founding members at $350,000 one-time with NO annual dues; 150 'legacy' memberships at $125,000 plus unpublished dues. 75-acre campus, 2.0-mile Alan Wilson circuit, 11 corners, opened 2021. Auto Lofts limited to 41 units. Over 200 people on the waiting list.",https://www.topspeed.com/cars/exclusive-the-concours-club-in-miami-is-an-outstanding-private-venture-where-high-paced-track-action-meets-opulence/,2026-08-06,"Trade press / Fortune (2018, pre-opening)",Third-Party — secondary retrieval,"THE ONLY comp supporting the model's $150,000/$34,000 pair — and it is a 75-acre invitation-only airport-adjacent Miami club with a 200+ waitlist, not a 210-day Northeast circuit. At 200 members on 2.0 miles it runs 100 members/track mile and $3.50M of dues per track mile, the highest in the set. The zero-dues $350,000 founding tier is the cleanest example anywhere of trading recurring revenue for upfront capital. Conflicting account puts the non-founding 100 at $375,000 + $35,000/yr; I would underwrite to $150,000/$35,000."
11,"Autobahn Country Club (Joliet, IL) — Car Collectors Club","Full Membership $50,000 initiation / $6,600 annual dues — every facility and track, right to build on-site condos and secure paddock garages, unlimited track time April through October. Social/Karting membership $5,700 per year. 350 acres; 3.56-mile track splitting into 2.1-mile and 1.5-mile circuits; opened 2005. Garage condos combine 2,000 SF living space with a 2,250 SF climate-controlled garage; trackside lots available for custom builds — UNIT PRICING NOT PUBLISHED.",https://carcollectorsclub.com/autobahn-country-club/,2026-08-06,Enthusiast trade press,Third-Party — secondary retrieval,"'April through October' yields ~214 facility days DERIVED, not published — the closest thing to a Midwest/Northeast season benchmark and it brackets the model's 210-day baseline from above. Escalation from Robb Report 2018 ($40,000/$5,500) is +25% initiation and +20% dues over seven years. Garage condo unit pricing is the gap; a Will County Recorder plat search would close it."
