risk_id,category,description,applies_to_targets,severity,likelihood,evidence_basis,mitigant,cost_to_cure_low,cost_to_cure_high,gate,source_url
RR-01,Entitlement,"Entitlement duration overrun. The model assumes 33 months. Club Motorsports (Tamworth NH), the only directly comparable Northeast private road-course club in the record, took roughly 12-15 years from inception to opening, including two NH Supreme Court appearances and two town-wide ballot fights. Delay enters yield through the carry factor k on the ENTIRE basis, not as a one-time cost.",ALL,Severe,High,Reported,"Add a delay scenario at 60 and 96 months of entitlement and report the IRR. Buy time cheaply: option structures with long feasibility periods rather than hard contracts. Pre-application acoustic study and neutral-consultant strategy to compress the hearing calendar. Do not enter a jurisdiction requiring a map amendment without a 60-month base assumption.",,,"Gate 2 — pre-LOI. Model change, no cash cost to cure; the cost is the corrected IRR.",https://www.conwaydailysun.com/news/after-12-years-club-motorsports-on-track-to-open-driving-themed-country-club-next-september/article_02da29ad-0f36-5d70-9f91-6d985936a83b.html
RR-02,Environmental,"EPCAL runway PFAS. The Navy identified 15 new PFAS areas of concern at former NWIRP Calverton in 2023, concentrated around the 10,000-ft western runway, sourced to AFFF. VOCs and 1,4-dioxane also of record. As of Feb 2025 the Navy was reported to be at the BEGINNING of CERCLA site evaluation after 62 advisory board meetings. The parcel carries a -$9,500,000 cost credit whose stated basis is reuse of that runway pavement as track base course. PFAS-impacted pavement is a waste characterization and generator-liability problem, not a credit.",TP-01-EPCAL,Severe,High,Reported,"Model the runway credit at ZERO in base and downside until a Phase II with PFAS analytical on runway subgrade says otherwise. CLAUDE.md already records that halving the credit takes IRR 8.8% -> 8.1%; zeroing it is worse. Order a targeted Phase II with PFAS/1,4-dioxane analytical before price is agreed. Note the Navy, not the buyer, is the CERCLA PRP — the exposure is timing, the lost credit, and the sell-out headline, not cleanup cost.",50000,150000,"Gate 3 — before price is agreed. Phase II scope; the $9.5M credit is at risk, not the cure cost.",https://riverheadnewsreview.timesreview.com/2023/05/116040/more-contamination-found-at-grumman-site-as-navy-details-15-new-areas-of-concern/
RR-03,Environmental,"EPCAL grassland habitat commitment. The EPCAL property carries approximately 583 acres of maintained grassland (512.4 existing plus 70.6 to be created) committed as habitat for short-eared owl and northern harrier, both NY-listed, plus regulated wetlands and land within the Wild Scenic and Recreational River corridor for the Peconic. On a 620-acre target showing 560 contiguous developable acres, this is potentially the entire site. The CSV's pct_wetlands of 0.06 does not capture it.",TP-01-EPCAL,Severe,High,Reported,"Resolve this BEFORE Phase II and before price. Obtain the DEC habitat commitment documents and the WSRRA permit file from the Town of Riverhead Planning Department and map the committed grassland against the proposed circuit envelope. If the developable residue is under 350 acres the site fails the acreage floor and the lead ranking is wrong.",15000,40000,"Gate 1 — pre-LOI. Records review and overlay; kill criterion.",https://www.townofriverheadny.gov/DocumentCenter/View/630/EPCAL---NYS-Environmental-Quality-Review-Act-Consistency-Analysis-PDF?bidId=
RR-04,Title,"EPCAL contested disposition. Riverhead contracted to sell 1,644 acres at EPCAL to Calverton Aviation & Technology (Triple Five) for $40M in 2018; the town voided the contract in Oct 2023 after the IDA denied CAT's assistance application; CAT sued Jan 2024. In Feb 2026 the court dismissed 16 of 17 causes of action but allowed a tortious interference with contractual relations claim to proceed. Land described as in limbo throughout.",TP-01-EPCAL,High,High,Adjudicated,"Do not close before final judgment or a recorded release from CAT. If proceeding, require affirmative title coverage naming the CAT action and a seller indemnity backed by escrow. Price the litigation-hold delay into RR-01's schedule.",100000,400000,"Gate 4 — title commitment review, pre-contract. Affirmative coverage premium and counsel.",https://riverheadlocal.com/2026/02/28/epcal-lawsuit-calverton-aviation-claims-dismissed-triple-five/
RR-05,Litigation,"Post-opening operating restriction imposed through municipal enforcement of a permit condition. This is the actual mechanism in the record, not a neighbor suit. At Palmer Motorsports Park the TOWN'S OWN building inspector and zoning enforcement officer sued over special permit Condition #10; judgment 14 Jan 2020 ordered mitigation and testing; a contempt complaint followed 20 Sept 2020; the court found the physical mitigation compliant but the testing requirement not met. At Club Motorsports the planning board was the adversary.",ALL,High,High,Adjudicated,"Draft the noise condition yourself as a property-line L-metric at a named surveyed measurement point with a defined averaging period and a written exceedance protocol. Never accept a qualitative condition or one referencing an unmeasured baseline. Measure and record the pre-acquisition ambient before closing so the incremental dB is provable.",25000,75000,"Gate 5 — the Planning Board hearing itself. Baseline ambient survey plus land-use counsel drafting.",http://masscases.com/cases/land/2021/2021-17-000493-DEC.html
RR-06,Litigation,"Permanent judicial restriction on operating days or hours, surviving indefinitely. Lime Rock Park has carried a permanent injunction against Sunday racing since 1959, affirmed by the Conn. Supreme Court, amended in 1968 to bar unmuffled racing, re-litigated in 1966, 1988 and 2015-2020. On 22 May 2020 the Conn. Supreme Court held that town planning and zoning commissions MAY regulate auto racing, including a Sunday ban, and that restrictions on unmuffled racing are not subject to state environmental approval of municipal noise ordinances.",TP-03-THOMPSON;TP-05-LITCHFIELD,Severe,Moderate,Adjudicated,"Treat a one-day-per-week loss as the CT downside operating case and re-run season_days accordingly (200 -> ~171). Where a prior injunction or restrictive regulation already burdens a CT parcel, it is a title-level encumbrance: search Litchfield and Windham Superior Court records for injunctions against the parcel and any predecessor motorsport use before LOI.",10000,25000,"Gate 4 — title and litigation search, pre-contract. Search cost; the operating impact is a scenario, not a cure.",https://law.justia.com/cases/connecticut/supreme-court/2020/sc20237.html
RR-07,Entitlement,"Referendum exposure on legislative approvals. Apex Motor Club's opponents gathered sufficient signatures to refer its conditional use permit to the ballot and were defeated because a CUP is an ADMINISTRATIVE, not legislative, act and therefore not referable under the Arizona Constitution. The Court of Appeals ruled for the club and the city; the Arizona Supreme Court denied review. A map amendment or rezoning is legislative and IS referable in most states.",TP-04-CUMBERLAND;TP-05-LITCHFIELD;TP-14-MAURY-QUARRY,High,Moderate,Adjudicated,"Prefer jurisdictions and paths where the approval is quasi-judicial. Where a map amendment is unavoidable, obtain a written opinion on referability under state law and local charter before LOI, and structure the option to terminate on a referendum petition being certified. This factor is not currently scored and should be.",20000,40000,"Gate 2 — pre-LOI. Local counsel opinion on referability.",https://www.pinalcentral.com/casa_grande_dispatch/area_news/maricopa-refuses-to-forward-apex-petition-issue-could-go-to/article_8361fcfb-de8f-5147-9f08-01d85572213e.html
RR-08,Litigation,"No statutory nuisance immunity in 7 of 9 pipeline states. Right-to-race nuisance immunity statutes are enacted in Iowa (May 2025), North Carolina (HB 926, Sept/Oct 2025), Kansas (Apr 2026), Michigan, Kentucky and Tennessee; Oklahoma SB 1195 in 2026; Georgia's bill failed and Wisconsin's was vetoed. NY, CT, NJ, AZ, TX, FL and NV have none. Thirteen legislatures have moved bills in the last year, so the map is live.",TP-01-EPCAL;TP-02-QUARRY-9W;TP-03-THOMPSON;TP-04-CUMBERLAND;TP-05-LITCHFIELD;TP-06-PINAL-303;TP-07-BRAZOS-XING;TP-08-MARION-OCALA;TP-09-WALLER-290;TP-10-HENDRY-75;TP-11-APEX-NV;TP-13-SH130;TP-15-HARDEE-PHOS,High,High,Adjudicated,"Score statutory immunity as a ranking input — TP-12 (NC) and TP-14 (TN) carry a shield the other thirteen do not. Where absent, substitute contractual protection: recorded right-to-operate covenants from abutters taken as consideration, and a recorded declaration binding every homesite and garage-condo purchaser to waive noise objections. The latter is free and belongs in the CC&Rs regardless.",0,0,"Gate 2 — market screen. Scoring change; the CC&R waiver is a drafting item with no incremental cost.",https://theconversation.com/right-to-race-laws-and-the-battle-over-americas-local-racetracks-278034
RR-09,Litigation,"Statutory definition mismatch. The NC and TN immunity statutes define a protected racing facility as a designated area where COMPETITIVE vehicle and motorsport races are conducted. A Thermal-typology private club running non-competitive HPDE and lapping days may fall outside the definition and receive no protection at all — the one structural mitigant available at TP-12 and TP-14 could be forfeited by program design.",TP-12-CABARRUS;TP-14-MAURY-QUARRY,High,Moderate,Inferred,"Obtain a written opinion from NC and TN counsel on whether the club program as designed falls within the statutory definition. If it does not, program a schedule of sanctioned competitive events sufficient to qualify. Highest-return legal dollar in the pipeline.",20000,40000,"Gate 2 — pre-LOI, before program is fixed. Legal opinion.",https://dashboard.ncleg.gov/api/Services/BillSummary/2025/H926-SMTQ-101(sl)-v-4
RR-10,Litigation,"Organized neighbor group forcing a negotiated settlement with operating concessions. TrackRacket, an organized non-profit, sued New Jersey Motorsports Park in 2009. Settled 2011: NJMP modified its PA system and adjusted START AND END TIMES for on-track activity, funded a standing Sound Committee of park officials, TrackRacket members and local citizens meeting monthly, AND PAID TRACKRACKET'S LEGAL FEES. The city was dismissed as a defendant; the park was not.",TP-04-CUMBERLAND;TP-05-LITCHFIELD;TP-02-QUARRY-9W;TP-03-THOMPSON;TP-14-MAURY-QUARRY;TP-08-MARION-OCALA,High,High,Reported,"Offer the joint monitoring committee VOLUNTARILY at hearing rather than concede it in settlement — same goodwill, and you write the charter. Model the downside case as reduced operating hours plus loss of ancillary event revenue, not as closure. Budget defence costs and fee-shifting exposure explicitly.",250000,1500000,"Gate 5 — hearing strategy, and carried as a contingency through year 5 of operations. Defence costs plus adverse fees.",https://pressofatlanticcity.com/news/motorsports-park-noise-issues-surface-again/article_3c109424-6d51-11e5-a2e8-4f93c6c4d80d.html
