target,jurisdiction,state,zoning_citation,use_posture,approval_body,noise_citation,noise_dba_day,noise_measurement_point,noise_standard_type,noise_exemption,state_overlays,abatement_statute,abatement_realistic_pct,timeline_assumed_months,timeline_researched_months,confidence,call_if_blank
TP-01-EPCAL,"Town of Riverhead (Calverton/EPCAL), Suffolk County",NY,Riverhead Town Code Ch. 301 zoning; EPCAL PD,special_permit,Riverhead Town Board / Planning Board,"Riverhead Town Code, Noise, Article I [S25]",65,"Receiving property line, commercial or residential category","absolute, by receiving-property category",,SEQRA (EIS likely); NYSDEC noise policy DEP-00-1; Navy CERCLA at the runway,NY GML Art. 18-A IDA PILOT — obtain a § 862 opinion,0.50,30,42,Inferred,
TP-02-QUARRY-9W,Ulster County Route 9W quarry belt,NY,Town-level; the specific town is not yet identified,special_permit,Town Planning Board (town TBD),,,,,,SEQRA; NYC DEP West-of-Hudson watershed regulations,NY GML Art. 18-A IDA PILOT,0.50,36,42,Assumed,"Ulster County Planning Dept — identify the town, then that town's noise ordinance"
TP-03-THOMPSON,"Town of Thompson (Putnam), Windham County",CT,"Thompson Zoning Regs, rural/recreation",special_permit,Thompson Planning & Zoning Commission,"RCSA § 22a-69 (CT DEEP), Class C to Class A [S26][S27]",61,Receptor property line,"absolute, −5 dBA for discrete tones",RCSA § 22a-69-1.8 — motorsport exempt during town-authorised hours; the special-permit hours condition IS the noise entitlement,CT DEEP; municipal ordinance must be at least as stringent (CGS § 22a-73),CGS § 12-65b(a)(9) municipal abatement — names recreation facilities,0.35,27,30,Inferred,
TP-04-CUMBERLAND,"Upper Deerfield / Hopewell Twp, Cumberland County",NJ,Township zoning; agricultural/institutional,map_amendment_required,Township Committee on Planning Board recommendation,N.J.A.C. 7:29 [S28],65,"Any residential property line, 7:00 a.m.–10:00 p.m.",absolute,,"NJDEP (landfill closure, CEA/deed notice); NJDEP noise rule",N.J.S.A. 40A:20 long-term tax exemption / annual service charge,0.40,42,48,Inferred,
TP-05-LITCHFIELD,Litchfield County golf corridor,CT,"Town zoning, residential/recreation",map_amendment_required,Town Planning & Zoning Commission,"RCSA § 22a-69 (CT DEEP), Class C to Class A [S26][S27]",61,Receptor property line,"absolute, −5 dBA for discrete tones",RCSA § 22a-69-1.8 — motorsport exempt during town-authorised hours; the special-permit hours condition IS the noise entitlement,CT DEEP; CGS § 22a-73,CGS § 12-65b(a)(9) municipal abatement,0.25,33,54,Inferred,Timeline assumes an appeal; the abutting subdivision makes one likely
TP-06-PINAL-303,Pinal County (I-10 corridor),AZ,"Pinal County Zoning Ord., General Rural",special_permit,Pinal County Board of Supervisors on P&Z Commission recommendation,"Pinal County Ord. 050306-ENO as amended by 031611-ENO-01 [S29] — PUBLISHED, TABLE NOT RETRIEVED",,"Table 1, by land-use class",Leq,,ADEQ APP/AZPDES; ADOT access; Arizona Water Supply adequacy,NONE — GPLET reaches incorporated areas only,0.00,18,24,Inferred,"Pinal County Planning & Development, (520) 509-3555 — Table 1 rural/residential daytime Leq"
TP-07-BRAZOS-XING,Hood County (unincorporated),TX,NO COUNTY ZONING AUTHORITY in Texas,as_of_right,County Commissioners Court (plat only); no discretionary land-use hearing exists,,,,,,TCEQ construction stormwater; TxDOT driveway permit; on-site sewage facility permit,Tax Code Ch. 312 county abatement — SUNSETS 2029-09-01,0.15,12,20,Inferred,"Hood County Development Dept, (817) 408-2515 — § 231.222 reach; district performance standards"
TP-08-MARION-OCALA,Marion County,FL,"Marion County LDC, A-1 General Agriculture",special_permit,Marion County Board of County Commissioners on P&Z recommendation,"Marion County Code Ch. 13 §§ 13-7, 13-8, 13-10 [S30]",65,"Residential-use receiving property, 7:00 a.m.–10:00 p.m.","absolute, by land-use acoustic category",,Water Management District ERP; FDEP; comprehensive-plan consistency finding,NONE for this use — FL exemption targets manufacturing/HQ,0.00,22,30,Inferred,
TP-09-WALLER-290,Waller County (unincorporated),TX,NO COUNTY ZONING AUTHORITY in Texas,as_of_right,County Commissioners Court (plat only),,,,,,TCEQ stormwater; TxDOT access; USACE Section 404 for the ditch network,Tax Code Ch. 312 — SUNSETS 2029-09-01,0.15,13,18,Inferred,Waller County — any county nuisance ordinance
TP-10-HENDRY-75,Hendry County,FL,"Hendry County LDC, A-2 Agriculture",special_permit,Hendry County Board of County Commissioners,,,,,,SFWMD ERP; USFWS consultation — Florida panther primary zone (the schedule driver),NONE for this use,0.00,24,42,Inferred,Hendry County Planning — whether any noise standard exists at all
TP-11-APEX-NV,Clark County (Apex / I-15 north),NV,"Clark County Code Title 30, M-D Designed Manufacturing",special_permit,Clark County Board of County Commissioners,"Clark County Code § 30.68.020, Table 30.68-1 [S31] — PUBLISHED, TABLE NOT RETRIEVED",,"All property lines, at least 4 ft above ground — emitter-side",absolute,,NDEP; BLM right-of-way for the water and access alignment (the schedule driver),NONE — no PILOT reaches this use; the 3% assessed-value cap is the offset,0.00,16,22,Inferred,Clark County Comprehensive Planning — Table 30.68-1 by district and period
TP-12-CABARRUS,Cabarrus County,NC,"Cabarrus County Zoning Ord., LI Light Industrial",special_permit,Cabarrus County Board of Commissioners (conditional district),"Cabarrus County Code Ch. 30, Art. II, § 30-27 [S32]",65,"Property line of the SOURCE, 7:00 a.m.–10:00 p.m.","absolute, emitter-side",,NCDEQ brownfields agreement; NCDOT driveway permit,"N.C.G.S. § 105-277.13 declining five-year exclusion (brownfield), front-loaded",0.20,19,20,Inferred,"Figures are from secondary compilations of § 30-27, not the primary text"
TP-13-SH130,Caldwell County (unincorporated),TX,NO COUNTY ZONING AUTHORITY in Texas,as_of_right,County Commissioners Court (plat only),,,,,,TCEQ stormwater; Edwards Aquifer contributing-zone plan if the boundary is crossed; TxDOT,Tax Code Ch. 312 — SUNSETS 2029-09-01,0.15,14,18,Inferred,"Caldwell County Judge / Commissioners Court — whether any county nuisance or noise ordinance exists, and whether the site sits in the Edwards Aquifer contributing zone"
TP-14-MAURY-QUARRY,Maury County,TN,"Maury County Zoning Resolution, A-2 Rural",map_amendment_required,Maury County Commission on Regional Planning Commission recommendation,,,,,,TDEC mine reclamation release; karst geotechnical review,T.C.A. § 7-53-101 Industrial Development Board PILOT — names recreation facilities,0.40,24,30,Inferred,Maury County Building & Zoning — A-2 performance standards; any county noise ordinance
TP-15-HARDEE-PHOS,Hardee County,FL,"Hardee County LDC, A-1 Agricultural",special_permit,Hardee County Board of County Commissioners,,,,,,FDEP mine reclamation release (the schedule driver); SWFWMD ERP; radiological screening,NONE for this use,0.00,21,30,Inferred,Hardee County Development Management — whether any noise standard exists
